id,code,title,year,description,emotionalTemperature,color,sortOrder,createdAt,updatedAt
30001,PH1,Absurdity of Meaning,2018,"Phase 1 marks the origin point of Project 666's mature practice: the deliberate collapse and reconstruction of artistic identity through stark black-and-white geometry. This body of work represents a formal, philosophical, and spiritual rupture from prior representational and coloristic approaches, establishing the core visual vocabulary (circles, bars, voids, moiré fields) and existential framework (absurdism + sacred geometry) that defines the entire career arc.

The phase unfolds in Hong Kong, 2018, crystallizing after years of introspective research into Norse paganism, occult traditions, sacred geometry, and existential philosophy. The work is technically rigorous, emotionally unstable, and conceptually paradoxical: circles reach for cosmic coherence while black bars enforce the hard limits of knowledge and meaning.

Key Exhibition: ""The Absurdity of Meaning"" - Kong Art Space, Hong Kong, March 27, 2018",Resolve after crisis; clarity emerging from long confusion,#FFFFFF,1,Sat Dec 27 2025 02:49:33 GMT-0500 (Eastern Standard Time),Sat Dec 27 2025 02:49:33 GMT-0500 (Eastern Standard Time)
30002,PH1A,Institutional Geometry,2018-2019,"Phase 1A extends the black-and-white geometric vocabulary into institutional and commercial contexts. The sacred geometry penetrates luxury hospitality—hotel lobbies, corporate offices, membership clubs. This phase tests whether private cosmology can survive public exposure.

The question shifts: does sacred geometry survive when thousands of people walk past it without contemplation? The answer is yes. The geometry stands. It holds. It functions as cosmology regardless of whether anyone perceives it as such.

Key Commissions: Peninsula Hotels, Jones Lang LaSalle, Soho House",Confident expansion; testing private vision in public space,#C0C0C0,2,Sat Dec 27 2025 02:49:33 GMT-0500 (Eastern Standard Time),Sat Dec 27 2025 02:49:33 GMT-0500 (Eastern Standard Time)
30003,PH2,Alignment – Circular Paradigm,2019-2020,"Phase 2 represents the peak of the circular paradigm. Tori (donut-shaped forms derived from interlocking circles), infinity loops, gold and copper binaries create a complete cosmological system. The control is absolute. The geometry is perfect. The meditative power is overwhelming.

The gold-copper polarity—eternal gold, temporal copper—encodes a complete metaphysics: the marriage of spirit and matter, the solar and lunar, the masculine and feminine. The work achieves what critics recognized as ""peak mathematical refinement.""

Key Exhibition: ""Alignment"" - Gallery HZ, with Soho House, Hong Kong, 2020",Peak refinement; meditative intensity,#FFD700,3,Sat Dec 27 2025 02:49:33 GMT-0500 (Eastern Standard Time),Sat Dec 27 2025 02:49:33 GMT-0500 (Eastern Standard Time)
30004,PH2A,Equinox of the Gods – Thelemic Rupture,2020,"In August 2020, at Jonathan LeVine Projects in NYC, Yuill exhibits five works titled ""The Equinox of the Gods."" These works rupture everything that came before. They are one-shot ink gestures—explosive, gestural, unplanned. There is literally no time for the careful composition process. Every stroke is final.

The title invokes Thelemic philosophy: the aeon-shift from Osiris (order, structure, death) to Horus (youth, will, rupture). The artist gives himself spiritual permission to break. ""Do what thou wilt shall be the whole of the Law"" becomes permission structure. The artist learns: you are allowed to rupture. Perfection itself requires breaking.

Key Exhibition: ""Equinox of the Gods"" - Jonathan LeVine Projects, NYC, August 2020",Permission to rupture; spiritual liberation,#FF0000,4,Sat Dec 27 2025 02:49:33 GMT-0500 (Eastern Standard Time),Sat Dec 27 2025 02:49:33 GMT-0500 (Eastern Standard Time)
30005,PH3,Echoes,2022,"The world contracted. Geography shifted—Hong Kong to Toronto to Bangkok—and the practice moved inward with it. What emerged were the Echoes: concentric fields of ink that pulse like ripples in still water, moiré patterns that seem to breathe.

This is geometry under pressure, distilled to its most essential gesture. The circle as anchor. Repetition as rhythm. The hand returning to what the hand knows, finding stillness through motion.

The Echoes works carry weight, but they also carry calm. They are the sound of a practice listening to itself—waiting, contracting, preparing for what comes next.


Key Exhibition: ""Echoes"" - Hong Kong, 2022","Inward turn; distillation; stillness within motion; the circle as refuge
",#1A1A1A,5,Sat Dec 27 2025 02:49:34 GMT-0500 (Eastern Standard Time),Sat Dec 27 2025 07:39:11 GMT-0500 (Eastern Standard Time)
30006,PH3A,Celestial Secrets,2023,"Phase 3A documents the conduit consciousness period. The artist has moved from ""creating"" to ""channeling."" The work becomes a receiver for cosmic signals. Gnosticism (VALIS), Sci-Fi (Philip K. Dick), Pink Floyd references, Physics-as-Spirituality. The moiré interference patterns create ""shimmer"" or ""signal noise."" Most works are vertical ""stacks"" or ""towers"" (receivers/antennae).

Key Exhibition: ""Celestial Secrets"" - Bangkok, 2023",Ethereal; mystical expansion,#4A0080,6,Sat Dec 27 2025 02:49:34 GMT-0500 (Eastern Standard Time),Sat Dec 27 2025 07:39:24 GMT-0500 (Eastern Standard Time)
30007,PH4,Nomadic – Emotional Crisis & Expressionism,2024,"Geographic displacement—Bangkok, Vietnam, nomadic circulation—catalyzed profound shifts. Between May–July 2024, Yuill created 195 paintings in seven weeks during an extended Vietnam residency, marking the most prolific period of his career.

For the first time in 15 years, color appears: red, purple, blue, green. The geometric vocabulary dissolves. Gestural expressionism emerges. The forms are ecstatic, chaotic, emotionally intense.

Maximum creative output (195 works) coincided with maximum emotional vulnerability and zero market presence. The work emerged not from institutional demand but from urgent necessity. The work was truest when most invisible.",Crisis; maximum output; color explosion,#FF00FF,7,Sat Dec 27 2025 02:49:34 GMT-0500 (Eastern Standard Time),Sat Dec 27 2025 02:49:34 GMT-0500 (Eastern Standard Time)
30008,PH4A,The Silent Pivot (Recalibration),2024-2025,"A gallery silence. Between the chaotic output of Vietnam and the somatic explosion of the New Era, this phase represents a withdrawal from production to focus on internal architecture, traditional research, and the difficult work of returning home.

If PH4 was an explosion of output (195 paintings in 4 months), PH4A is the necessary inhalation that followed. There is no physical artwork recorded in the public archive for this period. Instead, the creative energy was redirected entirely toward structural and technical recalibration.

This period marks the artist's return from the nomadic ""Peter Zone"" to the stability of Hong Kong. It documents a season of intense personal inventory—confronting the emotional costs of the nomadic lifestyle and making the deliberate choice to plant roots.

Crucially, this is the phase of Apprenticeship. During these quiet months, the artist began a deep engagement with Man Luen Choon, an ancient traditional Chinese art supply guardian in Hong Kong. Spending hours with the sifu (master), researching specific paper fibers, ink recipes, and lineage histories, the artist laid the material foundation for the New Era. The art was not being painted; it was being engineered through the study of tools that had been used for centuries.","Gallery silence. Withdrawal from production to focus on internal architecture, traditional research, and the difficult work of returning home.",#00FFFF,8,Sat Dec 27 2025 02:49:34 GMT-0500 (Eastern Standard Time),Sat Dec 27 2025 15:08:15 GMT-0500 (Eastern Standard Time)
30009,NE,"New Era: Big Bang, Thr3e, Covenant",2025-present,"The New Era practice (2025–present) integrates rigorous traditional training with personal vision: large-format somatic ink works combining sacred geometry's mathematical precision with Zen spontaneity, creating works that are simultaneously controlled and surrendered.

What's remarkable about these works is the simultaneity: they are rigorously disciplined (studied with a master, in a traditional lineage extending back centuries) AND completely open (one-shot, gestural, surrendered to ink and gravity). The artist has learned that mastery comes not through total control but through disciplined surrender.

The artist writes: ""I have jumped into the deep end and I'm fully embracing my true creative desire."" This is the culmination of seven years of practice.",Culmination; disciplined surrender; rooting,#00FF00,9,Sat Dec 27 2025 02:49:35 GMT-0500 (Eastern Standard Time),Sat Dec 27 2025 02:49:35 GMT-0500 (Eastern Standard Time)
60001,TEST_PHASE_2026,Test Phase 2026,2026,,,,999,Sat Feb 21 2026 17:33:44 GMT-0500 (Eastern Standard Time),Sat Feb 21 2026 17:33:44 GMT-0500 (Eastern Standard Time)
